Part #	OD	Wire Dia.	Lg.	Spring Rate, lbs./in.	Material	Ends
EX-01	0.180"	0.016"	0.500"	1.42	Music Wire	Closed & Ground
EX-02	0.180"	0.020"	0.750"	2.96	Music Wire	Closed & Ground
EX-03	0.240"	0.018"	0.500"	1.06	Music Wire	Closed & Ground
EX-04	0.240"	0.022"	0.750"	1.66	302 Stainless Steel	Closed & Ground
EX-05	0.240"	0.026"	1.000"	3.53	Music Wire	Closed & Ground
EX-06	0.300"	0.020"	0.625"	0.70	Music Wire	Closed & Ground
EX-07	0.300"	0.024"	0.875"	1.10	302 Stainless Steel	Closed & Ground
EX-08	0.300"	0.030"	1.250"	2.82	Music Wire	Closed & Ground
EX-09	0.360"	0.022"	0.625"	0.62	Music Wire	Closed & Ground
EX-10	0.360"	0.026"	0.875"	1.04	Music Wire	Closed & Ground
EX-11	0.360"	0.032"	1.000"	2.48	302 Stainless Steel	Closed & Ground
EX-12	0.360"	0.038"	1.500"	4.49	Music Wire	Closed & Ground
EX-13	0.420"	0.026"	0.750"	0.77	Music Wire	Closed & Ground
EX-14	0.420"	0.032"	1.000"	1.50	302 Stainless Steel	Closed & Ground
EX-15	0.420"	0.041"	1.500"	4.15	Music Wire	Closed & Ground
EX-16	0.500"	0.035"	1.000"	1.53	Music Wire	Closed & Ground
EX-17	0.500"	0.041"	1.250"	2.44	302 Stainless Steel	Closed & Ground
EX-18	0.500"	0.048"	1.750"	4.59	Music Wire	Closed & Ground
